id,created_at,text,retweets,favorites
1233376305653133312,2020-02-28 13:00:00,"b'Dignity of the person, justice, subsidiarity and solidarity: this it the contribution of the Church\xe2\x80\x99s social teaching in our common pursuit of \xe2\x80\x9calgor-ethics\xe2\x80\x9d. The Call that has been signed today is an important step in this direction. #renAIssance https://t.co/jr8wntY1bK'",1150,5925
1233361205265231873,2020-02-28 12:00:00,b'#Lent is great time to make space for the Word of God. It is time to turn off the TV and open the Bible. It is a time to pull ourselves away from cell phones and connect ourselves to the Gospel.',3872,20133
1233006364936376320,2020-02-27 12:30:00,"b'We pray, fast, and perform the works of mercy in this time of grace, so that the Lord might find our hearts ready and fill them with the victory of His love. #Lent'",3854,21254
1232723249919922176,2020-02-26 17:45:00,"b'#Lent is a time of grace, a time for recognizing that our lowly #ashes are loved by God and for letting God gaze upon us with love, and in this way change our lives. We were put in this world to go from ashes to life.'",3434,15752
1232719477185245185,2020-02-26 17:30:00,"b'#Ashes remind us of the direction of our existence: a passage from dust to life. We are dust, earth, clay, but if we allow ourselves to be shaped by the hands of God, we become something wonderous. https://t.co/C0dilCH8OR'",1919,9158
1232715699732140033,2020-02-26 17:15:00,"b""The #ashes we receive on our foreheads remind us that, as God's children, we cannot spend our lives chasing after dust.""",5050,24222
1232710906360029186,2020-02-26 16:55:57,b'We begin the #Lenten Season by receiving #ashes. We are dust in the universe. Yet we are dust loved by God. https://t.co/C0dilCYKdr',1715,8491
1232643979138752514,2020-02-26 12:30:00,"b'Fasting means knowing how to renounce vanities that pass away and superfluous things, to get to what is essential. It means seeking the beauty of a simpler life. #Lent #GeneralAudience'",4389,18567
1232613778316906496,2020-02-26 10:30:00,"b'This year the Lord grants us, once again, a favourable time to prepare to celebrate with renewed hearts the great mystery of the death and resurrection of Jesus, the cornerstone of Christian life. #Lent https://t.co/sM29Xsch3l'",2369,12143
1232269862229151744,2020-02-25 11:43:24,"b'Worldliness is the enemy of God. There is only one path against the spirit of the world: humility. Serving others, choosing the last place, not climbing the ladder. #HomilySantaMarta'",3596,18230
1231919201805373440,2020-02-24 12:30:00,"b""I wish you may all learn to look at life from above, from the perspective of heaven, to see things with God's eyes, through the prism of the Gospel.""",4465,25059
